transaction_id,product_id,product_name,category,customer_id,customer_name,city,store_id,sale_amount,sale_timestamp
TXN_7_0_24d691a7,6,Fund identify,Books,7691,Jennifer Parks,New Jason,9,97.37,2026-04-17T19:04:06.608219
TXN_7_1_b505b932,93,Father herself,Sports,1555,Patricia Johnson,Kimburgh,4,221.27,2026-04-17T05:37:03.457021
TXN_7_2_f24794bf,100,Girl range,Food,8198,Adam Smith,Sullivanbury,11,603.67,2026-03-30T08:40:30.987651
TXN_7_3_55dc45d5,50,Fast can,Food,3521,April Bryant,Port Barbara,7,405.61,2026-04-09T11:07:47.803465
TXN_7_4_ac029ef7,39,Firm help,Electronics,1872,Garrett Hall,Mariaberg,6,603.46,2026-03-13T10:41:44.568983
TXN_7_5_3ca944b1,42,Big anyone,Books,2467,Ryan Diaz,Port Cynthiaside,9,194.62,2026-03-19T06:57:13.603144
TXN_7_6_24793d24,29,Just sense,Electronics,6397,Diana Bennett,Lake Maria,7,407.65,2026-02-28T10:52:57.224639
TXN_7_7_f720aee4,13,Well politics,Books,8233,Mark Price,Murrayhaven,4,124.45,2026-02-02T05:18:37.701743
TXN_7_8_205eea77,58,Quickly especially,Food,1547,James Rivera,East Michelle,18,91.49,2026-04-01T01:46:48.121068
TXN_7_9_ed0cedf2,64,Friend participant,Clothing,3114,Alexander Morgan,Patrickmouth,10,39.93,2026-05-01T16:09:59.574011
TXN_7_10_b0f92552,12,Degree easy,Food,6628,Tina Cardenas,Samanthaberg,7,64.26,2026-04-13T00:47:47.018676
TXN_7_11_d9ad7ba1,24,Eat use,Electronics,1980,John Hicks,Trevorside,3,291.91,2026-01-11T10:20:01.882196
TXN_7_12_c7205f84,21,Quite easy,Clothing,7382,Nicholas Hickman,Pittmanstad,1,520.74,2026-02-14T02:51:41.142821
TXN_7_13_2f9abedd,98,Environmental mention,Clothing,7691,Ashley Carter,Muellerside,20,525.52,2026-05-04T03:54:09.993705
TXN_7_14_d9178201,90,As strong,Sports,2796,Kenneth Smith,Christophermouth,8,210.48,2026-03-18T14:08:16.851565
TXN_7_15_24e848fa,18,Evening other,Books,9843,Phillip Flynn,Lake Travis,16,711.85,2026-01-26T22:46:24.627844
TXN_7_16_0444b7a9,95,Why nature,Food,3254,Oscar Cline,Lake Michaelland,3,141.14,2026-04-22T03:32:27.511639
TXN_7_17_57d17cc1,23,Cost oil,Books,8864,Valerie Foster,Rowefurt,15,109.42,2026-04-06T13:27:34.236155
TXN_7_18_eed5f44e,15,Article same,Electronics,4125,Devin Castaneda,East Josephville,10,226.6,2026-02-02T11:58:01.670664
TXN_7_19_f47bf153,11,Thousand including,Food,6698,Sean Castillo,New Susan,8,19.41,2026-02-03T21:06:53.751256
TXN_7_20_a37455bf,49,President along,Clothing,2579,Dennis Lindsey,North Carolynland,8,93.27,2026-04-11T23:23:41.530555
TXN_7_21_d0b7759c,62,Race able,Food,8486,Kelly Clark,Port Samanthashire,8,73.25,2026-05-03T11:22:34.098635
TXN_7_22_37a3b968,79,Account series,Books,7552,Michelle Palmer,Port Megan,6,835.45,2026-02-17T03:15:17.195669
TXN_7_23_3e37cd22,35,Themselves where,Electronics,6628,Travis Owens,Rachelshire,14,781.39,2026-01-25T20:29:07.340873
TXN_7_24_32ceabfa,12,Kid along,Books,9789,Kimberly Jacobs,North Glenn,3,75.44,2026-03-15T13:40:03.970700
TXN_7_25_f5361aba,37,Decade recently,Books,1527,Erin Holt,New Marc,3,869.33,2026-02-17T12:59:37.881349
TXN_7_26_690b2009,29,Perform say,Books,7369,Christian Cortez,Lake Jennifer,19,61.31,2026-03-07T01:07:56.550160
TXN_7_27_f35dd3b6,21,Indicate another,Sports,8614,Michael Farley,Barronmouth,20,422.14,2026-03-23T18:24:59.441633
TXN_7_28_f64ceef6,17,Environment policy,Books,2833,Dr. Linda Chen PhD,Wendyville,20,747.76,2026-02-15T01:20:29.420657
TXN_7_29_9d726296,6,Debate half,Sports,4586,Taylor Rubio,Hernandezfurt,11,474.29,2026-05-08T03:53:41.819604
TXN_7_30_ed56558a,81,Natural shake,Food,1866,John Spencer,East Patrick,17,465.17,2026-03-13T15:02:55.193143
TXN_7_31_b00ca027,40,Leg start,Books,5375,Lisa Rogers,North Christopherstad,18,569.58,2026-04-14T19:36:56.066140
TXN_7_32_a44bc759,60,Might day,Sports,2386,Ashley Henderson,Port Jordan,7,89.62,2026-02-07T05:57:41.760960
TXN_7_33_eee5192d,68,Coach point,Clothing,7017,David Rivera,Andrewsfurt,8,881.31,2026-02-18T14:22:32.081493
TXN_7_34_0f24b53d,32,Southern real,Books,5367,Kelsey Ortiz,Hallstad,13,530.37,2026-02-11T19:06:03.278641
TXN_7_35_90934097,5,Single partner,Clothing,5334,Paul Kelly,Knoxburgh,9,100.29,2026-02-14T22:40:38.137328
TXN_7_36_8011deb3,78,Article without,Clothing,5086,Susan Young,Smithtown,4,367.73,2026-02-22T20:44:17.941603
TXN_7_37_384260e4,76,Necessary light,Sports,9354,Bradley Johnson,Mejialand,12,879.01,2026-03-15T23:49:51.100080
TXN_7_38_2e901db5,73,Board during,Sports,9581,Benjamin Hernandez,New Markburgh,19,120.77,2026-01-22T09:49:39.692751
TXN_7_39_f5eb4b26,19,Begin health,Food,2063,Brandon Mullins,East Christopher,8,448.26,2026-01-25T11:28:47.165604
TXN_7_40_da9b31a4,41,Heart speak,Sports,2418,Elizabeth Gill,East Angela,5,184.77,2026-03-10T17:46:06.001453
TXN_7_41_c7f6cc3e,91,Cause measure,Clothing,3858,Kristina Thompson,Port Patrick,3,677.76,2026-02-08T13:36:00.145312
TXN_7_42_d10b236a,6,Space follow,Electronics,5751,Ricardo Lee,Carlyland,9,726.81,2026-01-18T02:59:18.303481
TXN_7_43_e853bb01,44,Do make,Food,6801,Susan Schaefer,Michelleshire,19,764.94,2026-04-24T06:31:18.943122
TXN_7_44_2bfdd0ef,96,Skin degree,Electronics,9784,Rebecca Morris,Lake Stephen,10,169.89,2026-02-07T11:05:12.875890
TXN_7_45_6be584ba,12,Base option,Food,1571,Rachel Wilson,North Kristina,4,729.09,2026-02-13T02:48:19.827591
TXN_7_46_503fc2e6,57,Nothing act,Food,8201,Dana Ochoa,Jordanshire,8,937.88,2026-01-14T13:43:13.345174
TXN_7_47_02b9de8d,15,Its building,Clothing,2005,Eric Williams,New Laura,13,900.01,2026-03-13T20:22:57.417839
TXN_7_48_39b4faed,63,Give summer,Electronics,4744,Peter Stafford,Port Larry,19,995.81,2026-02-28T16:49:15.206402
TXN_7_49_2719a27e,45,Citizen unit,Electronics,6125,Emily Bates,Port Denise,1,151.58,2026-03-29T22:59:54.641503
TXN_7_50_ee0362f3,14,Cold pull,Sports,7079,Kimberly Perez,East Randallstad,20,104.27,2026-04-01T10:38:53.026498
TXN_7_51_bde975d1,77,Surface chair,Electronics,2377,Tara Ruiz,Port Tina,2,305.66,2026-02-22T03:48:46.453116
TXN_7_52_ff5a80ef,34,Section quite,Books,5076,Michael Bonilla,Kathrynshire,20,86.04,2026-01-08T14:39:44.495122
TXN_7_53_4f318bbd,14,Have fight,Sports,3956,Edward Rodriguez,North Ericstad,14,121.4,2026-02-19T14:01:05.091352
TXN_7_54_0e617ebd,37,Strong hope,Books,3422,Tamara Sweeney,West Stephen,18,126.3,2026-01-28T16:05:23.122266
TXN_7_55_150376e3,3,Black science,Food,1984,Rebecca Clark,South Sandraland,7,821.82,2026-04-28T11:36:45.528928
TXN_7_56_1573a399,33,Under personal,Electronics,9806,Jennifer Hayes,East Shellytown,6,807.39,2026-03-08T14:34:03.190935
TXN_7_57_a65fd2a2,17,Choose I,Clothing,3022,John Reed,Lauraside,20,925.39,2026-05-04T07:45:26.560533
TXN_7_58_0843f36d,50,Fill personal,Food,3877,Andrew Campbell,Alifurt,10,506.65,2026-01-06T18:45:56.005335
TXN_7_59_72eaacd8,10,Notice stuff,Clothing,1387,Gina Edwards,Peterland,11,535.06,2026-03-28T04:57:36.482036
TXN_7_60_ecd08645,79,Address never,Sports,8976,Bryan Mills,Lake Erictown,18,666.13,2026-04-14T05:43:32.904015
TXN_7_61_436a7b3b,17,Seek development,Books,6334,Michelle Riggs,Jillburgh,17,786.73,2026-04-01T00:31:35.381202
TXN_7_62_fe87f211,84,Site card,Electronics,3357,Lisa Hart,Lake Tammyside,3,816.97,2026-03-18T02:31:06.675959
TXN_7_63_333bed9f,80,Natural who,Clothing,8996,Laura Woods,Josephborough,8,737.25,2026-02-09T09:06:33.485774
TXN_7_64_aa4fa2b8,3,Yeah it,Books,1773,Gregory Thompson,Carterstad,5,786.68,2026-03-20T18:09:37.858051
TXN_7_65_cda87451,75,A manager,Sports,4927,Donald Flores,Dominguezhaven,6,729.36,2026-02-05T05:25:23.547084
TXN_7_66_0c7b599e,33,Because role,Sports,5525,Tommy Morgan,Jonesview,7,661.96,2026-01-25T11:28:58.521432
TXN_7_67_5c34d41d,90,Trial remember,Sports,5159,Mrs. Shannon Richardson,West Jacquelinestad,16,720.9,2026-04-24T16:42:32.800284
TXN_7_68_d19a430d,10,Specific purpose,Food,1665,Robert Hall,Rollinsburgh,12,599.5,2026-01-14T03:41:59.861223
TXN_7_69_e11a61c4,94,As entire,Clothing,7874,Vanessa Mejia,Lake Lori,10,852.94,2026-04-22T17:59:05.813856
TXN_7_70_ee836b73,16,Thus teach,Electronics,5090,Nathaniel Garcia,North Davidport,1,321.8,2026-01-27T17:19:24.702018
TXN_7_71_3b2e1527,51,Worker food,Sports,1531,Douglas Wallace,Floresview,2,697.81,2026-04-12T18:01:17.928042
TXN_7_72_a091c169,73,Nature current,Clothing,3032,Bradley Perry,West Graceberg,6,481.79,2026-01-20T23:40:48.638038
TXN_7_73_0207a0d3,91,Great current,Food,5167,Michael Escobar,Mcdowellshire,15,528.9,2026-02-09T19:04:12.190001
TXN_7_74_987149a5,56,Should action,Books,7236,Fernando Roman,Smithchester,5,740.0,2026-01-08T21:11:50.914465
TXN_7_75_90fd8970,53,Want use,Electronics,1839,Ashley Garrett MD,East Jonathan,6,279.81,2026-03-16T19:21:03.860887
TXN_7_76_23e21516,75,Firm rest,Books,4060,Karen Walsh,Lake Mariaberg,8,515.31,2026-03-24T13:25:08.390996
TXN_7_77_7f3e21a5,65,Model each,Sports,5479,David Gibbs,New Steven,4,612.02,2026-04-17T07:05:29.750947
